iter	Passed	Remaining
0	3	347
1	6	309
2	9	296
3	11	269
4	14	279
5	18	292
6	22	301
7	26	305
8	30	311
9	34	310
10	37	303
11	40	294
12	42	285
13	45	278
14	46	265
15	49	258
16	51	252
17	54	247
18	57	244
19	60	240
20	63	237
21	65	230
22	68	227
23	69	221
24	72	218
25	75	214
26	77	210
27	80	206
28	82	201
29	84	197
30	86	192
31	88	187
32	90	184
33	92	179
34	93	174
35	95	169
36	96	165
37	98	160
38	99	155
39	100	151
40	102	147
41	102	141
42	104	137
43	105	134
44	107	130
45	108	127
46	109	123
47	110	119
48	111	116
49	113	113
50	114	110
51	115	106
52	117	103
53	118	100
54	119	97
55	120	94
56	121	92
57	123	89
58	124	86
59	125	83
60	127	81
61	128	78
62	129	76
63	131	73
64	132	71
65	133	68
66	135	66
67	136	64
68	138	62
69	139	59
70	140	57
71	142	55
72	143	53
73	144	50
74	145	48
75	147	46
76	148	44
77	149	42
78	151	40
79	152	38
80	153	36
81	155	34
82	156	32
83	157	30
84	158	28
85	160	26
86	161	24
87	162	22
88	163	20
89	165	18
90	167	16
91	168	14
92	169	12
93	170	10
94	172	9
95	173	7
96	174	5
97	175	3
98	176	1
99	178	0
