iter	Passed	Remaining
0	159	158935
1	160	79886
2	160	53449
3	161	40222
4	162	32283
5	163	27005
6	163	23260
7	164	20434
8	165	18234
9	166	16473
10	167	15051
11	168	13876
12	169	12887
13	171	12055
14	172	11295
15	172	10634
16	173	10044
17	174	9525
18	175	9057
19	176	8636
20	177	8255
21	177	7906
22	178	7588
23	179	7295
24	180	7029
25	181	6782
26	181	6555
27	182	6345
28	183	6147
29	184	5966
30	185	5793
31	186	5635
32	187	5487
33	188	5346
34	189	5211
35	190	5087
36	190	4967
37	191	4853
38	192	4745
39	193	4645
40	194	4556
41	195	4467
42	197	4388
43	198	4320
44	199	4242
45	200	4167
46	201	4094
47	202	4024
48	203	3955
49	204	3890
50	205	3825
51	206	3764
52	207	3705
53	208	3649
54	209	3602
55	210	3552
56	212	3507
57	213	3466
58	214	3420
59	215	3373
60	216	3327
61	217	3284
62	218	3243
63	219	3205
64	220	3165
65	221	3131
66	222	3097
67	223	3061
68	224	3028
69	226	3003
70	227	2975
71	228	2943
72	229	2912
73	230	2881
74	231	2850
75	232	2821
76	233	2793
77	233	2765
78	234	2738
79	235	2712
80	236	2686
81	237	2661
82	238	2632
83	239	2608
84	240	2585
85	241	2564
86	242	2545
87	243	2524
88	244	2502
89	245	2480
90	246	2465
91	247	2443
92	248	2422
93	249	2403
94	250	2383
95	251	2364
96	251	2345
97	252	2327
98	253	2311
99	254	2294
100	256	2279
101	257	2266
102	258	2249
103	259	2235
104	260	2220
105	261	2204
106	262	2188
107	263	2173
108	263	2157
109	264	2142
110	265	2128
111	266	2113
112	267	2100
113	268	2088
114	269	2076
115	270	2064
116	271	2052
117	272	2039
118	273	2026
119	274	2013
120	275	2000
121	276	1986
122	276	1974
123	277	1963
124	278	1951
125	279	1940
126	280	1927
127	281	1915
128	282	1909
129	283	1898
130	284	1888
131	285	1879
132	287	1871
133	288	1861
134	288	1851
135	289	1841
136	290	1831
137	291	1821
138	292	1811
139	293	1801
140	294	1792
141	294	1781
142	295	1771
143	296	1762
144	297	1755
145	298	1746
146	299	1737
147	300	1729
148	301	1722
149	303	1717
150	303	1708
151	304	1699
152	305	1691
153	306	1683
154	307	1675
155	308	1667
156	308	1659
157	309	1651
158	310	1643
159	311	1636
160	312	1627
161	313	1619
162	313	1612
163	315	1606
164	316	1600
165	317	1596
166	318	1589
167	319	1582
168	320	1575
169	321	1569
170	322	1562
171	323	1555
172	324	1549
173	325	1543
174	325	1536
175	326	1529
176	327	1522
177	328	1515
178	329	1509
179	329	1502
180	330	1497
181	332	1493
182	333	1487
